Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Efna1	3	89281142	89271733	0	1.5572453	0.7158132	3.66669	2770
Efna3	3	89322965	89313899	0	-0.54526323	-1.0741838	2.0242555	2771
Ntng1_1	3	110144011	110143685	0	-3.7153857	-3.9740763	-0.47857925	3106
Pitx2	3	129199878	129219591	1	-5.543052	-7.6762123	-0.82411426	3173
Lef1	3	131110471	131224356	1	2.2936013	1.7442436	4.3466306	3189
Unc5c	3	141465564	141834924	1	-3.7238271	-9.191971	-0.32190442	3237
Wls	3	159839737	159935833	1	4.7935147	4.9885983	6.284557	3317
Cdcp2	4	107096891	107107748	1	-8.449592	-6.971316	-0.89085674	3784
Tal1	4	115056426	115071755	1	-3.4889982	-7.7173157	0.1059467	3846
Fhl3	4	124700701	124708611	1	0.8477317	-0.8281941	2.750003	3975
Ece1	4	137862237	137965229	1	2.0566044	0.59392506	3.665114	4198
Tnfrsf18	4	156026164	156028895	1	-2.7659612	-4.0425735	0.35825345	4441
Sod3	5	52363946	52371405	1	-8.900913	-4.46328	-0.79674417	4719
Pdgfra	5	75152291	75198204	1	-1.8837326	-4.016892	3.6854215	4805
Kdr	5	75978458	75932827	0	-1.8517153	-3.298253	2.5375276	4807
Mn1	5	111417362	111457033	1	0.57400846	-0.20727861	3.4650855	5038
Myl2	5	122100951	122113472	1	-4.069105	-3.2282598	1.0956054	5167
Tmem132c	5	127241808	127565793	1	-2.3846066	-1.8956846	1.0956055	5239
Lfng	5	140607341	140615543	1	0.19592334	-1.4957266	3.148372	5418
Rasl11a	5	146845071	146847726	1	4.897018	1.175442	5.9325995	5493
Peg10	6	4747306	4760517	1	1.0241688	3.4272344	4.7769747	5541
Wnt2	6	18030585	17988940	0	-3.562551	-3.6078384	4.65822	5582
Pax4	6	28449353	28442334	0	-8.032157	-6.5538826	-0.34897548	5619
Cpa2	6	30541582	30564476	1	-0.6306733	-1.5946206	3.1089456	5647
Cpa1	6	30639218	30645363	1	-7.872344	-5.2420654	-0.4859732	5650
Mest	6	30723547	30748455	1	4.916596	5.8100595	6.975631	5652
Adcyap1r1	6	55451978	55501451	1	-2.90775	-3.2994142	1.1577976	5837
St3gal5	6	72097613	72154570	1	1.048076	-0.44091213	3.315368	5930
Usp18	6	121245906	121270916	1	-4.1517725	-3.673498	1.33706	6253
Tnfrsf1a	6	125349362	125362484	1	1.9156289	1.7954065	3.6640003	6336
Ccnd2	6	127151048	127125779	0	5.0991774	4.74952	6.1244073	6352
Slco1c1	6	141524386	141570177	1	-6.996142	-7.2548327	-0.5850849	6484
Ceacam10	7	24777204	24784649	1	-0.19236521	-5.6474533	1.9895298	6944
Dll3	7	28302238	28293553	0	2.1544251	4.7254257	6.5522633	7032
Etv2	7	30635852	30633616	0	1.2433772	-1.1804215	3.8677053	7120
Kctd15	7	34655509	34639014	0	1.62143	-1.2874184	3.2226453	7170
Mesp1	7	79793788	79792241	0	2.5244195	0.2591861	7.9051886	7480
Mesp2	7	79810727	79813431	1	-4.8660645	-6.539793	3.9944751	7481
Lmo1	7	109170308	109138572	0	-2.153963	0.11018697	2.1796873	7723
Htra1	7	130936111	130985660	1	-1.1439328	0.2491748	2.43115	7954
Ifitm1	7	140967221	140969825	1	4.847666	8.754431	9.249335	8036
Sct	7	141279133	141278331	0	-1.9204345	-1.5296224	2.3659697	8052
Slc22a18	7	143473721	143499334	1	-2.1701539	-0.2381609	2.146216	8100
Phlda2	7	143502541	143501545	0	5.854425	4.8738146	10.654834	8101
Fgf3	7	144838083	144844436	1	-0.40291643	1.1353407	5.7199583	8116
Fgf15	7	144896532	144900953	1	2.5229926	0.80812883	5.5636334	8118
Gpr124	8	27085583	27123436	1	-4.016542	-6.379569	0.91434276	8323
Adrb3	8	27229588	27225776	0	-2.3162692	0.043950275	3.4194288	8327
Dlc1	8	36953143	36567751	0	-0.9399542	-0.5436818	2.473114	8360
