Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Gpx6	13	21312217	21319624	1	-0.56417453	-5.938342	-7.8043017	12912
Nhlrc1	13	47014850	47012558	0	-0.28367367	-6.783951	-3.743019	13144
Id4	13	48261427	48264036	1	0.8111581	-3.165894	-2.90257	13149
Cxcl14	13	56296551	56288647	0	-0.32808927	-4.3010254	-6.582022	13236
Ndrg2	14	51913488	51905271	0	3.6810265	1.9561088	1.7788924	13814
Sall2	14	52328762	52311172	0	2.842789	0.9212016	0.36610526	13827
Jph4	14	55116935	55106830	0	0.30205122	-6.2154408	-5.557838	13859
Tdh	14	63509092	63492347	0	4.8062754	-1.9635407	-0.09876637	13976
Tnfsf11	14	78308043	78277445	0	-0.40148073	-3.788276	-5.876628	14094
Slitrk5	14	111675115	111683134	1	1.3269966	-2.2076945	-1.1101795	14143
Abcc4	14	118706219	118482692	0	1.1117625	-3.783069	-2.249098	14151
Slc1a3	15	8710764	8634124	0	3.0724366	1.3091879	0.5495807	14204
Cdh9	15	16778101	16857094	1	0.24275196	-5.1213236	-8.987283	14235
Mal2	15	54571366	54602846	1	2.1575582	0.10402857	-8.92516	14331
Enpp2	15	54920146	54838898	0	2.8202622	0.3236957	-0.18695943	14333
Ly6e	15	74955051	74959905	1	4.954706	3.8070076	3.818433	14416
Cbx7	15	79971119	79915807	0	3.15226	1.3991191	-1.9054644	14556
Pmm1	15	81960930	81951108	0	4.385083	2.6060092	2.804223	14590
AC105358.1	15	82212815	82206952	0	-0.063745424	-6.4379134	-3.759552	14597
Mapk12	15	89140703	89130585	0	3.7785702	2.2022552	0.034372643	14674
Mapk8ip2	15	89453913	89464468	1	2.3704681	-3.9456728	-0.889791	14691
Abcd2	15	91191807	91145884	0	0.03837013	-6.901207	-3.0392466	14700
Lrrk2	15	91673175	91816120	1	0.25346738	-3.092686	-3.4309077	14702
Nell2	15	95528706	95219451	0	1.1419635	-1.8028272	-4.537542	14716
Faim2	15	99528017	99497005	0	-0.60146844	-4.441108	-9.628996	14774
Ifitm7	16	13986855	13981702	0	1.7431489	-1.1066306	-1.1784505	14964
Gap43	16	42340651	42248442	0	3.7262452	-0.79369926	1.8372478	15219
Cd200	16	45409053	45382135	0	-0.37781698	-7.3183317	-3.5728564	15244
Syngr3	17	24689955	24685092	0	1.9865133	-6.6370416	-0.88339204	15647
Lhfpl5	17	28575718	28583593	1	-0.4381879	-5.906332	-7.620288	15767
Pxt1	17	28942262	28934291	0	-0.8953147	-5.0926046	-5.806561	15774
Abcg1	17	31057698	31115777	1	2.9437528	1.2490382	-0.70222855	15798
Pou5f1	17	35506037	35510776	1	8.713376	7.614468	7.6227927	15953
Ubd	17	37193892	37196095	1	-0.80983895	-5.483567	-7.3495264	16004
Fsd1	17	55986511	55996881	1	4.307141	3.0449862	1.729675	16149
Tubb4a	17	57087782	57080066	0	5.739827	4.3498535	4.709116	16195
Tnfsf9	17	57105385	57107757	1	3.865839	1.9531314	1.9762108	16196
Calm2	17	87446935	87433412	0	10.174665	9.783136	9.434111	16330
Ankrd29	18	12305720	12252362	0	-0.3524935	-7.3069925	-5.320509	16382
Klhl14	18	21654718	21550377	0	0.50357914	-4.2584605	-9.598351	16413
Syt4	18	31447415	31437808	0	0.1118549	-7.5505576	-3.8050823	16433
Wnt8a	18	34542313	34548273	1	3.8475866	2.1621149	2.399102	16460
Jakmip2	18	43687773	43531408	0	2.5829024	0.623772	-0.35766456	16563
St8sia3	18	64254359	64276146	1	1.9783992	-0.089166716	-0.14245726	16667
Grp	18	65872820	65886578	1	1.0878236	-5.6680536	-7.534013	16678
Tbc1d10c	19	4191047	4184358	0	0.2674325	-6.4006486	-2.6551735	16810
1700019N12Rik	19	6925380	6922426	0	0.43230435	-2.4931426	-2.6221364	16920
Gng3	19	8839246	8836929	0	5.7854695	3.533619	3.7407908	16963
Cd6	19	10830058	10789341	0	-0.23313366	-7.3539453	-4.897976	17006
Tfe3	66	7762560	7775202	1	3.0168357	1.0955882	1.1477119	17399
Pim2	66	7878262	7883432	1	8.625049	4.526938	3.466484	17403
Glod5	66	8018492	8004200	0	2.6154377	-0.1629495	-2.0854924	17411
Ndp	66	16911774	16885521	0	-0.4088669	-6.5420265	-8.407987	17468
Mtap7d3	66	56822326	56797858	0	4.7154746	2.0726395	1.4623821	17618
Mcf2	66	60179089	60055956	0	2.6784148	-4.435352	-6.011804	17630
Sox3	66	60893430	60891370	0	0.8085412	-4.8930926	-8.344015	17632
Gabra3	66	72656848	72432681	0	2.4292724	-0.58685684	0.36000004	17656
Pdzd4	66	73824969	73793359	0	4.62755	2.087903	1.3431861	17689
Nr0b1	66	86191764	86195947	1	1.3489635	-6.4411087	-2.3737051	17744
Slc7a3	66	101086020	101079210	0	6.2754226	0.989673	1.6146787	17798
Nap1l2	66	103186640	103184176	0	1.7598412	-2.1513357	-0.6953671	17823
Lpar4	66	106920625	106933900	1	5.1318665	3.5194526	3.3024466	17849
Tmem35	66	134295225	134305969	1	1.4443277	-2.467423	-4.070348	17894
Ptchd1	66	155623814	155573455	0	0.53031635	-2.852151	-7.3030725	18035
